,funded_amnt,addr_state,annual_inc,application_type,dti,earliest_cr_line,emp_length,emp_title,fico_range_high,fico_range_low,grade,home_ownership,id,initial_list_status,installment,int_rate,loan_amnt,mort_acc,open_acc,pub_rec,pub_rec_bankruptcies,purpose,revol_bal,revol_util,sub_grade,term,title,total_acc,verification_status,zip_code,last_pymnt_amnt,num_actv_rev_tl,mo_sin_rcnt_rev_tl_op,mo_sin_old_rev_tl_op,bc_util,bc_open_to_buy,avg_cur_bal,acc_open_past_24mths
9611,26550.0,MD,68100.0,Individual,26.36,Apr-1980,10+ years,Administrator,704.0,700.0,D,MORTGAGE,67318488,w,659.7,16.99,26550.0,4.0,12.0,0.0,0.0,credit_card,58244.0,65.1,D3, 60 months,Credit card refinancing,29.0,Not Verified,216xx,13613.56,6.0,7.0,428.0,33.2,5810.0,24854.0,4.0
6808,17000.0,IL,110000.0,Individual,5.0,Dec-1988,10+ years,Full Time Firefighter,709.0,705.0,A,MORTGAGE,68162302,w,532.02,7.91,17000.0,3.0,12.0,0.0,0.0,debt_consolidation,10392.0,44.6,A5, 36 months,Debt consolidation,38.0,Not Verified,604xx,17082.18,3.0,6.0,324.0,54.1,8353.0,22871.0,3.0
9161,24000.0,MN,60000.0,Individual,23.05,Aug-2006,< 1 year,Engineering Technician,669.0,665.0,B,RENT,66493836,w,781.65,10.64,24000.0,0.0,11.0,0.0,0.0,debt_consolidation,9176.0,57.7,B4, 36 months,Debt consolidation,25.0,Verified,554xx,791.65,5.0,2.0,112.0,51.7,4205.0,4793.0,7.0
110,14000.0,OH,100000.0,Individual,15.97,Dec-1997,4 years,Master mechanic,689.0,685.0,B,MORTGAGE,68516507,f,450.43,9.8,14000.0,2.0,7.0,0.0,0.0,medical,34250.0,36.1,B3, 36 months,Medical expenses,14.0,Not Verified,439xx,450.79,3.0,54.0,216.0,36.1,22057.0,64448.0,3.0
1597,28000.0,FL,205600.0,Individual,18.53,Aug-2003,4 years,Senior Consultant,689.0,685.0,A,RENT,68585081,w,843.22,5.32,28000.0,9.0,15.0,1.0,1.0,debt_consolidation,2087.0,4.0,A1, 36 months,Debt consolidation,50.0,Verified,333xx,5826.2,13.0,16.0,148.0,7.0,5000.0,4435.0,6.0
4638,6500.0,TX,59500.0,Individual,15.07,Oct-1983,1 year,Accountant,689.0,685.0,B,RENT,68423730,w,209.13,9.8,6500.0,4.0,12.0,1.0,1.0,other,416.0,5.5,B3, 36 months,Other,31.0,Verified,770xx,3879.73,5.0,4.0,386.0,5.7,8384.0,2602.0,5.0
6710,7000.0,CA,80000.0,Individual,10.49,Jul-2002,10+ years,General Contractor,679.0,675.0,B,RENT,68162436,w,220.95,8.49,7000.0,0.0,14.0,0.0,0.0,car,21773.0,52.8,B1, 36 months,Car financing,25.0,Source Verified,946xx,4716.97,12.0,5.0,161.0,55.8,17227.0,1555.0,1.0
4487,18000.0,FL,75000.0,Individual,15.02,Nov-1993,7 years,Operations Manager,699.0,695.0,B,MORTGAGE,68483865,w,573.83,9.17,18000.0,1.0,12.0,0.0,0.0,debt_consolidation,14859.0,35.0,B2, 36 months,Debt consolidation,17.0,Not Verified,333xx,573.43,6.0,10.0,265.0,37.9,24341.0,28026.0,7.0
9852,5000.0,IL,82000.0,Individual,23.39,Mar-2004,3 years,Law Clerk,699.0,695.0,A,MORTGAGE,67367318,w,150.58,5.32,5000.0,2.0,27.0,0.0,0.0,debt_consolidation,12059.0,35.1,A1, 36 months,Debt consolidation,43.0,Source Verified,606xx,1769.83,6.0,6.0,141.0,47.1,11641.0,14915.0,7.0
6960,4000.0,MI,51000.0,Individual,20.75,Dec-1986,9 years,Inside Sales,669.0,665.0,B,RENT,68212279,w,130.54,10.78,4000.0,0.0,9.0,1.0,0.0,home_improvement,4883.0,49.3,B4, 36 months,Home improvement,17.0,Source Verified,481xx,641.73,6.0,9.0,348.0,85.5,669.0,3077.0,5.0
